"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,26.628755668965454
2,11.425673868725058
3,5.041795332801229
4,3.1216811185756552
5,2.2897528970885994
6,1.583867932146066
7,0.7463867796239
8,0.5160257694173848
9,0.45172538935328654
10,0.3567076137495642
11,0.278730165639541
12,0.21585419542893758
13,0.14509256787925096
14,0.1090463000961697
15,0.07018382396685183
16,0.04814361329592852
17,0.04175555514332036
18,0.02938401780976711
19,0.022489327151583405
20,0.01597418944096569
21,0.012081349719315909
22,0.010144531152492862
23,0.006662203696662916
24,0.005400153866096069
25,0.004428281786043634
26,0.0035031891983669174
27,0.0029041343885000833
28,0.0023751826293151187
29,0.002123980657603328
30,0.0015765686938250469
31,0.0010886392512077102
32,0.0008039120425819746
33,0.0007206921701702742
34,0.0005607071711484597
35,0.00044039115685787835
36,0.00034101471261150225
37,0.00028245054316162094
38,0.0002372508769515344
39,0.00019883186662167748
40,0.0001812277686630232
41,0.00014955840280232672
42,0.00011319995495933874
43,9.712442420180685e-05
44,7.938440894748518e-05
45,6.57878661688712e-05
46,5.3120207633022144e-05
47,4.9193753645746885e-05
48,4.1360743480884534e-05
49,3.08294716409736e-05
50,2.7895917467765903e-05
51,2.166553664064647e-05
52,1.7834526147137807e-05
53,1.65063235270973e-05
54,1.4827914031883012e-05
55,1.3138297806228361e-05
56,1.1240244371124857e-05
57,9.496789640536163e-06
58,7.991151409361911e-06
59,6.970887133764017e-06
60,5.222568878003994e-06
61,3.877684658043262e-06
62,3.7263801646086873e-06
63,3.3316761365898115e-06
64,2.889833550706185e-06
65,2.540729772805075e-06
66,2.239588563031492e-06
67,1.948392889719153e-06
68,1.6667611854382347e-06
69,1.603065435507552e-06
70,1.3462937396092354e-06
71,1.0228416423598095e-06
72,9.006712230504189e-07
73,7.56579381635358e-07
74,6.198833633054697e-07
75,4.810040903272057e-07
76,4.1267093423461526e-07
77,3.633889939637607e-07
78,2.9997012378377835e-07
79,2.657250797580297e-07
80,2.397166800756852e-07
81,2.078955895096255e-07
82,1.812550345209335e-07
83,1.6176836960006245e-07
84,1.5586192140930376e-07
85,1.382164315984301e-07
86,1.043773961581608e-07
87,9.966004773659648e-08
88,8.076051597160109e-08
89,6.713828193130035e-08
90,6.36920483492726e-08
91,6.306587201382827e-08
92,5.720571894663116e-08
93,5.3031766408553113e-08
94,4.9056827696677454e-08
95,4.660329283940651e-08
96,4.436907819628424e-08
97,4.024342180521059e-08
98,3.7539374407919205e-08
99,3.655523377870595e-08
100,3.350879093807634e-08
