"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,3.662434996108982
2,0.7443579664002001
3,0.38868319152150993
4,0.16210217349498102
5,0.08116546063878169
6,0.033433985443046994
7,0.01587390973242455
8,0.0100454035848435
9,0.005270243567821979
10,0.0034735031616634927
11,0.0025584306306164566
12,0.0014608724481103414
13,0.0008298492694481449
14,0.0005828027699037544
15,0.0003615071306935329
16,0.00017372244698864547
17,0.00011403807565874542
18,6.048915655277976e-05
19,3.46904902156719e-05
20,2.325715207336422e-05
