"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,5.834468785527334
2,1.6577245337016118
3,0.6540199000799345
4,0.3473152679310948
5,0.20448588805619108
6,0.12797966497308014
7,0.08488454503721135
8,0.056662492872936364
9,0.03534935004318492
10,0.023911804400071335
11,0.014848694348616772
12,0.0100633959184437
13,0.006267649241206463
14,0.003782193721068332
15,0.002270962718817042
16,0.0015759393790324716
17,0.0013229831787439558
18,0.000918940688586326
19,0.0005510969016862893
20,0.0002689899496845127
21,0.00019714307518205388
22,0.00014015357321008756
23,9.12875091179106e-05
24,5.965892807113653e-05
25,3.9721003448123604e-05
26,3.1112043059163185e-05
27,2.666015396978768e-05
28,1.9790296821884178e-05
29,1.2909012234477696e-05
30,8.994972565862977e-06
31,6.355166936032982e-06
32,4.794551923573108e-06
33,3.638165058662934e-06
34,2.5006428877955245e-06
35,1.763914156518328e-06
36,1.207427112595387e-06
37,8.542373769836568e-07
38,6.753595632911748e-07
39,4.4888122699556174e-07
40,2.5128945340369574e-07
41,1.82428456127324e-07
42,1.1710702741466307e-07
43,7.908153911218574e-08
44,5.839774155129937e-08
45,3.5379293952739734e-08
46,2.9742647432347623e-08
47,1.772956721952881e-08
48,1.2105352177323353e-08
49,8.771668426827472e-09
50,6.530059518896651e-09
51,5.035466898486248e-09
52,3.768014585673962e-09
53,2.7714401865974243e-09
54,1.9693174483665743e-09
55,1.3425851020602913e-09
56,9.62075949797147e-10
57,7.330191013106341e-10
58,5.401859870863435e-10
59,3.4656728139308874e-10
60,2.0143339910723663e-10
61,1.4214355047445985e-10
62,9.203030793885833e-11
63,7.110709877076862e-11
64,4.350521548697834e-11
65,3.3471261261665e-11
66,2.5462894338777412e-11
67,1.8916169970555563e-11
68,1.612280848154231e-11
69,1.2940555026630157e-11
70,8.581896634096324e-12
71,6.909500405442752e-12
72,5.663776744062447e-12
73,4.613665982969317e-12
74,3.5731946359872505e-12
75,2.628743253201619e-12
76,1.8993080776748937e-12
77,1.3097010529846221e-12
78,1.1193271318426194e-12
79,6.533363433178295e-13
80,4.678220403052583e-13
81,3.622576070738839e-13
82,2.272502959835543e-13
83,1.5801344672245265e-13
84,1.1085771071937485e-13
85,8.758782615676173e-14
86,7.159247832464292e-14
87,5.446255849477537e-14
88,4.0105707503077875e-14
89,3.2542098471067154e-14
90,2.5370856430701482e-14
91,2.0495042224400604e-14
92,1.6898107672027913e-14
93,1.487491178211998e-14
94,1.1947561530043057e-14
95,9.935744287602705e-15
96,6.196178115543492e-15
97,4.50572193935361e-15
98,2.975685048072292e-15
99,2.1475503120280146e-15
100,1.5398251562579778e-15
