"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,2.7769844213573425
2,0.799725309591205
3,0.5472244393900928
4,0.31142727604376846
5,0.20436603429811023
6,0.1483451877018818
7,0.07720641358575853
8,0.0552938117890035
9,0.043141448557260834
10,0.03216582406808799
11,0.028993708877731807
12,0.019010256660098538
13,0.01512064060261382
14,0.0119680044829039
15,0.009401398385647455
16,0.007438261335314591
17,0.005705840066205906
18,0.004106147261656993
19,0.003122946125560789
20,0.0028766433377989268
