"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,1.2583876524932398
2,0.4140791499161681
3,0.12667736083515438
4,0.05718518010424335
5,0.02853788689913313
6,0.01669437797001183
7,0.009045015529368976
8,0.005919703000459404
9,0.004135591148077854
10,0.0028949682798640464
11,0.0009625552813480703
12,0.0006649028195412611
13,0.0004243865642337961
14,0.00024366807220202368
15,0.00016040245226310725
16,0.00013037177979534616
17,6.735450128386542e-05
18,3.700612726438716e-05
19,2.00718028465807e-05
20,1.4045150640373258e-05
