"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,8.328485342245877
2,2.5829178198816116
3,1.1647104016159209
4,0.551721107994269
5,0.44420817342155533
6,0.291918861907691
7,0.21893109948449818
8,0.13204757274876047
9,0.07704743254228735
10,0.05739650647681563
11,0.042819218461064464
12,0.02686857996260641
13,0.019992481995618514
14,0.013477662118220178
15,0.009572687976443898
16,0.0078421320375448
17,0.006446292495655537
18,0.004480194848110559
19,0.002731609166969421
20,0.002177209005064457
