"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,7.7346646124376335
2,3.3157492002186775
3,1.168103642992155
4,0.6702373597643233
5,0.2828068892350745
6,0.1495942486620252
7,0.10592761313174763
8,0.07257179065818144
9,0.042926505325014276
10,0.02378267467750496
11,0.016253178359260868
12,0.011270817642682757
13,0.007968890399905608
14,0.004553971919095717
15,0.0031541102013995276
16,0.0019057989292057017
17,0.0010980086198736196
18,0.000777842644369604
19,0.0003090924581010212
20,0.0001846341350506328
21,9.287327742260717e-05
22,6.969335357646387e-05
23,5.308792303866371e-05
24,3.534005170222981e-05
25,2.6672596429699657e-05
26,1.5700323757154436e-05
27,1.1186474191449949e-05
28,7.127745189372824e-06
29,4.644558639578255e-06
30,3.5722623205727414e-06
31,2.2800369754848545e-06
32,1.777037989523361e-06
33,1.1794499346542262e-06
34,8.976624174072117e-07
35,6.440086320816723e-07
36,4.65313106835948e-07
37,3.837867087447308e-07
38,2.8085149594040393e-07
39,1.6196521290175904e-07
40,1.121957010555247e-07
41,7.850701555506179e-08
42,5.48883922846381e-08
43,3.6051964082566395e-08
44,2.4863571229160796e-08
45,2.0256367577351303e-08
46,1.4094408272418119e-08
47,1.0079691927033739e-08
48,7.319984685676506e-09
49,4.78318939617738e-09
50,3.1864030340358487e-09
51,1.7974952926392142e-09
52,1.3907081842490227e-09
53,8.534611786235197e-10
54,5.710265333040231e-10
55,3.1648780251468353e-10
56,2.453210395552793e-10
57,1.676698880148263e-10
58,1.3088321915868154e-10
59,8.071101515637769e-11
60,5.818220776302045e-11
61,3.354005341647667e-11
62,2.1944949659124284e-11
63,1.4608367395990287e-11
64,1.0025461518612294e-11
65,7.47884626404186e-12
66,5.330833202562758e-12
67,3.639092748234746e-12
68,2.2520295618763844e-12
69,1.5931554481285566e-12
70,1.0569578274388026e-12
71,6.582954625376086e-13
72,4.2497689086374414e-13
73,2.856305111214679e-13
74,2.349185339540743e-13
75,2.0687802591584807e-13
76,1.328927617621421e-13
77,6.969176976651195e-14
78,4.92085161311073e-14
79,3.412833442198857e-14
80,2.646008274899743e-14
81,1.7139929284295307e-14
82,1.3905659396345693e-14
83,9.20386376781103e-15
84,6.091698553593062e-15
85,4.331252351127611e-15
86,3.7562300547931156e-15
87,2.953645640370289e-15
88,2.010840936477381e-15
89,1.3735716496561366e-15
90,8.961608361505278e-16
91,7.07850299476903e-16
92,4.660753747963253e-16
93,3.13205099264023e-16
94,2.4579408211544826e-16
95,1.9550503971870497e-16
96,1.4100973465061062e-16
97,7.305248272339897e-17
98,4.208261020885847e-17
99,3.069107622704908e-17
100,2.5385313549786077e-17
