"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,3.6167393390654716
2,1.232561428807943
3,0.6370925195588985
4,0.3272025420733874
5,0.19970702773415586
6,0.10206671322450173
7,0.06633811840036062
8,0.04266872587588328
9,0.02595410888801283
10,0.015446770754377817
11,0.011013423338135158
12,0.006792373344014968
13,0.004108193037196033
14,0.0028800833492840937
15,0.0018188002072871384
16,0.0013233725550333524
17,0.001003729892944256
18,0.0006626537853774715
19,0.0004967860723871825
20,0.0002784602737992437
