"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,20.00239323336687
2,8.127350313899187
3,3.8108218219188017
4,1.462714223435711
5,0.955734496639235
6,0.7858989013145727
7,0.5284250445426235
8,0.3607195324554381
9,0.297431172987937
10,0.2379172999831657
11,0.19859508331050418
12,0.15022108241935622
13,0.08539421827519247
14,0.07124531065294126
15,0.062490235682206394
16,0.046393580448350076
17,0.03611848344754659
18,0.028345347094685537
19,0.024033647299931873
20,0.019353071849980915
21,0.017269574895107706
22,0.014110118648803422
23,0.012762106302290127
24,0.010136665958524249
25,0.008362770976812078
26,0.007372408786702126
27,0.006126192426079679
28,0.004559577532215473
29,0.00396108523523654
30,0.003319105956853881
31,0.002175365062596316
32,0.0019346110874851688
33,0.001498848441885646
34,0.001321213403677529
35,0.001153253367430102
36,0.0010064109125748383
37,0.0008239412271695394
38,0.0006505429693783113
39,0.0005462538734655423
40,0.0005065890607429506
41,0.00042908835900966287
42,0.00033279309329593745
43,0.0002627075572948981
44,0.00020983021639920787
45,0.0001879966744581188
46,0.00016772461931058893
47,0.00015157490768233402
48,0.00014600884057108676
49,0.00011433999516399673
50,0.0001028489268792118
51,9.492047062233138e-05
52,7.721879370069643e-05
53,5.740721359186715e-05
54,5.1746325397330224e-05
55,4.250538039923413e-05
56,3.539385702349083e-05
57,3.335385532303003e-05
58,3.105319713725499e-05
59,2.504801531209676e-05
60,2.1349879546023753e-05
61,1.7316462832251025e-05
62,1.535615454053185e-05
63,1.4732315879896298e-05
64,1.3324909896273418e-05
65,1.180460490975582e-05
66,1.0128703259827079e-05
67,8.865382317685086e-06
68,7.820320823642292e-06
69,7.2529229133106265e-06
70,6.603463535778593e-06
71,6.125944649838813e-06
72,5.341370071586719e-06
73,5.1825985892201015e-06
74,4.412764679778324e-06
75,4.073588103012496e-06
76,3.608491949236786e-06
77,3.052945193287017e-06
78,2.6829422369843815e-06
79,2.349534912214896e-06
80,1.7818180495410643e-06
81,1.396217664325606e-06
82,1.1841662600052533e-06
83,1.1152053592156855e-06
84,1.0322259283914318e-06
85,9.144659832900304e-07
86,8.432471352814445e-07
87,7.526519066081305e-07
88,7.200148202691264e-07
89,6.05011197423465e-07
90,5.358276654458524e-07
91,4.128020976808822e-07
92,3.834798833630991e-07
93,3.5831279074201446e-07
94,3.2992154421831615e-07
95,2.8836199112596803e-07
96,2.386215027779755e-07
97,2.1103553908068797e-07
98,1.9146731509543005e-07
99,1.7611011129916252e-07
100,1.6767004359561373e-07
