"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,total_time
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",11.01565105267159,4.28131076599999
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.162133851516536,5.605333850000022
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.101035719109014,4.646130591000002
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",13.326296922116285,4.281220259000008
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.018059724152208,4.67091225499999
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",10.53496245920366,4.280668818999999
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.549404020634192,4.607216301999983
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.402026975861557,5.975754847000019
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",11.143058580909587,5.712095283999986
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",9.233359148245405,2.594563980999993
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",10.685926034423565,2.535250153999982
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.772247588417443,2.5012545019999948
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.657789466993534,2.6067721649999953
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.458294267740169,2.981906525999989
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.565620126572512,2.514707391999991
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.277845365372895,2.498542090000001
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.107183275958329,2.369965196999999
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.707501098100752,2.302188497000003
"[15, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",9.2690392966769,2.4285055140000225
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.880684818316805,3.654230969999986
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.335262342027853,3.835467556999987
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.392564799111185,3.599242352999994
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.658579524182944,4.7844813110000075
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.327757077646265,3.590291954999998
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.957470103354264,4.095111686999985
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.739923629654173,3.535135853999975
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.7193324251858,3.5507366530000013
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",9.195906762407665,3.862481105000029
"[15, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",10.579103199886804,3.448271035999994
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.390531423643952,5.085690091999993
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.7197440147405745,4.730673017999948
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.609938678874936,4.718045888000006
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.66741547411923,4.7387183460000415
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",3.9195534082778707,4.794528523999986
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.922853524878466,4.756343888999993
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.874302992825921,5.018487225999991
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.8611525547454235,5.144805176000034
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.142815276671096,4.5114953249999985
"[15, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.303643015141333,4.559614738999983
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.004940679602926,3.4055139299999837
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.572626047683938,3.5220547889999807
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.690300608835495,3.48716246500004
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",13.19106400949343,3.4995283380000046
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.047706836976743,3.3822769520000406
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.236325028902241,3.7306496909999964
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.249297557715522,3.3938380580000285
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.974496745224483,3.298863997000012
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",9.378188864092882,3.3186187879999807
"[15, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.377519481282185,3.4967216860000008
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",11.247751879033174,6.363060537000024
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.585455022422549,6.16268777800002
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.87563366935067,6.213138914000012
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.588508077817539,5.3736097379999705
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.284686917869143,5.282590459999994
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",11.808604886097733,5.332752813000013
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.05278780535051,5.89018045399996
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.286713388853336,5.208431616000041
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.3050909291305475,5.650022393000029
"[15, 10, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",10.329159634268885,5.57854377000001
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",3.9991652483344837,6.8737468969999895
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.785492030772117,7.866280533999998
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",13.077121221779628,6.706605147000005
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.666707072836103,6.719976394000014
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.561084078008888,8.150756246000014
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.081367638678972,6.555654357000037
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.37086326498426,6.811541979000026
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.304658254494713,7.490066620999983
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.223080813782437,7.71269990899998
"[15, 10, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",220.17983797572447,6.768483494000009
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",12.64218612004605,3.065997816000049
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",14.822392710742664,2.911287719000029
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",10.585606947601402,2.6708940599999096
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.84246765247929,2.8189658869999903
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",11.007128860464624,2.9953645470000083
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",11.15474961668262,2.9408042060000525
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.76868276989399,2.7528710319999163
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",9.541560578797506,2.7345158339999216
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",13.130454524120559,2.6070119620000014
"[20, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.706380791620373,2.689298710999992
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",11.24707065213974,4.553025919999982
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.313752153293496,4.367735177999975
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.05915247939522,4.384891858999936
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.6888382115671146,4.346877508000034
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.152081648466083,4.384785954999984
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",11.614913036652666,4.587925708999933
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.649586671042421,4.500355963000061
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.255510339127248,5.068420978999939
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.714072121247254,4.790303151999979
"[20, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.269544574535265,4.396419839999908
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.015903666926984,6.466173699000024
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.902974260615201,6.690095079000002
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.908249944061981,6.270750368999984
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.284238221622196,6.99604428300006
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.704110181596417,6.136333906000004
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.054095980592674,6.233885550999958
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.73389943654087,6.142436132000057
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.939410212778974,6.909413663999999
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",12.216577679064532,6.250275252999927
"[20, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.43625528890694,6.138244350000036
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",11.800419896046622,13.672070651000013
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",11.25773666338014,6.707938025999965
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.007755276328372,6.69282848499995
