"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,11.389418167482207
2,2.741125766856104
3,1.0890761359576893
4,0.5203308947009367
5,0.31024923335339744
6,0.20416824861066443
7,0.14033135192647211
8,0.09627918693065397
9,0.0643560265826873
10,0.05071563388700742
11,0.03518773181425936
12,0.022422964107130336
13,0.015397156634553785
14,0.012089170536013522
15,0.007190985681772853
16,0.005986035520143384
17,0.003958013623548521
18,0.0029313117404284996
19,0.002096775487347221
20,0.0016658969478595804
21,0.0011060079758707037
22,0.0009262635704483157
23,0.0006541475569750068
24,0.0004014652699941932
25,0.00031210024072441495
26,0.00023579732555143793
27,0.00017705682002415923
28,8.831830547237628e-05
29,6.89565247181554e-05
30,4.813523754699558e-05
31,4.312960265873465e-05
32,2.7159221726638625e-05
33,2.107001004082674e-05
34,1.6746446159490367e-05
35,1.2345300424866744e-05
36,7.533057879422975e-06
37,6.008165238167469e-06
38,3.7760707867926334e-06
39,2.393447109113519e-06
40,1.6033475432463508e-06
41,1.013539572761865e-06
42,5.701242356143667e-07
43,3.924788214773188e-07
44,2.2342786630451594e-07
45,1.5773513802149582e-07
46,1.2930269718536036e-07
47,1.0199322530810658e-07
48,8.780535871902503e-08
49,6.731393361775326e-08
50,4.74541127968508e-08
51,3.373709468605771e-08
52,2.6329699730012426e-08
53,2.091259419727631e-08
54,1.707602663242908e-08
55,1.4357136508060205e-08
56,1.1007042160971666e-08
57,7.894514845048114e-09
58,5.8529600384794354e-09
59,4.264531463116837e-09
60,3.68076568836388e-09
61,2.594818877255572e-09
62,2.1886796172950395e-09
63,1.5847467858002708e-09
64,1.113249833470303e-09
65,8.861719848874128e-10
66,7.674336658575793e-10
67,4.39932338034502e-10
68,3.090909746808794e-10
69,2.5205299564823805e-10
70,2.194459799355377e-10
71,1.835994212304355e-10
72,1.5989268575101092e-10
73,1.0843216837486505e-10
74,8.121903091479561e-11
75,6.687213175250999e-11
76,5.848388557443847e-11
77,4.98118724545688e-11
78,4.1440048094238706e-11
79,3.636782782945005e-11
80,2.885525546813977e-11
81,2.4393868665207077e-11
82,2.078510157261048e-11
83,1.6548739110351696e-11
84,1.3771560785533872e-11
85,1.1620520916839091e-11
86,6.393064944604882e-12
87,4.612656174412576e-12
88,3.2963387156325355e-12
89,2.4900219365831594e-12
90,2.1595642743843225e-12
91,1.7265073364410991e-12
92,1.3786019799296515e-12
93,1.2019733452972731e-12
94,9.592186098973578e-13
95,8.603514597893158e-13
96,7.12709668951483e-13
97,5.222025948029918e-13
98,3.983018511303391e-13
99,3.3228277328312304e-13
100,2.9060690746873036e-13
