"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f9', 20, -10, 10, 100, 250, 25000]",3.08,1.025492525094911e-182
"['f9', 20, -10, 10, 100, 300, 30000]",4.04,9.355165958806002e-204
"['f9', 20, -10, 10, 200, 150, 30000]",3.78,2.508692031728712e-142
"['f9', 20, -100, 100, 100, 250, 25000]",3.33,2.580871262852399e-30
"['f9', 20, -100, 100, 100, 300, 30000]",4.09,1.763424023084324e-30
"['f9', 20, -100, 100, 200, 150, 30000]",3.89,2.0891741481107984e-36
"['f9', 30, -10, 10, 100, 250, 25000]",3.4,7.691588443897516e-199
"['f9', 30, -10, 10, 100, 300, 30000]",4.46,2.9770840771010876e-205
"['f9', 30, -10, 10, 200, 150, 30000]",4.06,1.2546066351239052e-144
"['f9', 30, -100, 100, 100, 250, 25000]",3.61,3.1375846216460525e-27
"['f9', 30, -100, 100, 100, 300, 30000]",4.65,2.8155139175498246e-38
"['f9', 30, -100, 100, 200, 150, 30000]",4.37,3.3511719400256264e-38
"['f9', 50, -10, 10, 100, 250, 25000]",4.28,1.0187643416356911e-187
"['f9', 50, -10, 10, 100, 300, 30000]",5.17,1.2244624302395705e-214
"['f9', 50, -10, 10, 200, 150, 30000]",5.09,1.3790829203447734e-144
"['f9', 50, -100, 100, 100, 250, 25000]",4.6,2.4197779396247138e-32
"['f9', 50, -100, 100, 100, 300, 30000]",5.7,1.862395767814226e-33
"['f9', 50, -100, 100, 200, 150, 30000]",5.57,6.876974370955127e-36
"['f9', 100, -10, 10, 100, 250, 25000]",6.23,2.1208635850863385e-186
"['f9', 100, -10, 10, 100, 300, 30000]",7.84,3.0517751795067737e-208
"['f9', 100, -10, 10, 200, 150, 30000]",7.88,1.9271911043203757e-153
"['f9', 100, -100, 100, 100, 250, 25000]",7.51,1.4495600550129872e-33
"['f9', 100, -100, 100, 100, 300, 30000]",8.92,3.280263970242039e-35
"['f9', 100, -100, 100, 200, 150, 30000]",8.77,5.454608479092087e-44
