epoch,gBest_fitness
1,-1546.605
2,-1546.605
3,-1919.832
4,-1680.267
5,-1982.883
6,-2224.689
7,-2252.933
8,-2995.893
9,-2995.893
10,-2995.893
11,-3077.6
12,-2951.429
13,-3071.651
14,-3417.988
15,-3552.55
16,-3552.55
17,-3420.791
18,-3509.045
19,-3705.868
20,-3782.893
21,-3797.301
22,-3851.206
23,-3946.909
24,-3853.418
25,-3932.051
26,-3954.512
27,-4021.708
28,-4100.799
29,-4154.978
30,-4192.388
31,-4144.223
32,-4143.902
33,-4153.249
34,-4239.902
35,-4280.39
36,-4341.524
37,-4341.524
38,-4391.481
39,-4391.481
40,-4383.925
41,-4415.609
42,-4452.735
43,-4452.735
44,-4456.729
45,-4456.729
46,-4473.479
47,-4474.473
48,-4515.066
49,-4511.461
50,-4535.304
51,-4538.127
52,-4538.127
53,-4532.785
54,-4548.642
55,-4563.802
56,-4557.43
57,-4566.336
58,-4573.807
59,-4577.432
60,-4589.906
61,-4595.321
62,-4593.642
63,-4596.908
64,-4599.183
65,-4607.826
66,-4608.421
67,-4609.923
68,-4617.423
69,-4617.423
70,-4617.423
71,-4617.607
72,-4618.531
73,-4618.684
74,-4622.576
75,-4622.576
76,-4622.704
77,-4627.205
78,-4627.197
79,-4627.197
80,-4627.197
81,-4628.097
82,-4629.317
83,-4629.13
84,-4629.521
85,-4632.06
86,-4632.383
87,-4631.849
88,-4631.849
89,-4631.978
90,-4632.276
91,-4632.951
92,-4632.981
93,-4633.191
94,-4633.615
95,-4633.831
96,-4633.562
97,-4634.113
98,-4634.883
99,-4634.537
100,-4634.886
101,-4635.098
102,-4635.198
103,-4635.362
104,-4635.234
105,-4635.431
106,-4635.67
107,-4635.67
108,-4635.824
109,-4635.824
110,-4635.926
111,-4635.824
112,-4636.083
113,-4635.983
114,-4636.041
115,-4636.031
116,-4636.054
117,-4636.11
118,-4636.11
119,-4636.074
120,-4636.11
121,-4636.11
122,-4636.11
123,-4636.11
124,-4636.11
125,-4636.11
126,-4636.11
127,-4636.11
128,-4636.11
129,-4636.11
130,-4636.11
131,-4636.11
132,-4636.11
133,-4636.11
134,-4636.11
135,-4636.11
136,-4636.11
137,-4636.11
138,-4636.11
139,-4636.11
140,-4636.11
141,-4636.11
142,-4636.11
143,-4636.11
144,-4636.11
145,-4636.11
146,-4636.11
147,-4636.11
148,-4636.11
149,-4636.11
150,-4636.11
151,-4636.11
152,-4636.11
153,-4636.11
154,-4636.11
155,-4636.11
156,-4636.11
157,-4636.11
158,-4636.11
159,-4636.11
160,-4636.11
161,-4636.11
162,-4636.11
163,-4636.11
164,-4636.11
165,-4636.11
166,-4636.11
167,-4636.11
168,-4636.11
169,-4636.11
170,-4636.11
171,-4636.11
172,-4636.11
173,-4636.11
174,-4636.11
175,-4636.11
176,-4636.11
177,-4636.11
178,-4636.11
179,-4636.11
180,-4636.11
181,-4636.11
182,-4636.11
183,-4636.11
184,-4636.11
185,-4636.11
186,-4636.11
187,-4636.11
188,-4636.11
189,-4636.11
190,-4636.11
191,-4636.11
192,-4636.11
193,-4636.11
194,-4636.11
195,-4636.11
196,-4636.11
197,-4636.11
198,-4636.11
199,-4636.11
200,-4636.11
201,-4636.11
202,-4636.11
203,-4636.11
204,-4636.11
205,-4636.11
206,-4636.11
207,-4636.11
208,-4636.11
209,-4636.11
210,-4636.11
211,-4636.11
212,-4636.11
213,-4636.11
214,-4636.11
215,-4636.11
216,-4636.11
217,-4636.11
218,-4636.11
219,-4636.11
220,-4636.11
221,-4636.11
222,-4636.11
223,-4636.11
224,-4636.11
225,-4636.11
226,-4636.11
227,-4636.11
228,-4636.11
229,-4636.11
230,-4636.11
231,-4636.11
232,-4636.11
233,-4636.11
234,-4636.11
235,-4636.11
236,-4636.11
237,-4636.11
238,-4636.11
239,-4636.11
240,-4636.11
241,-4636.11
242,-4636.11
243,-4636.11
244,-4636.11
245,-4636.11
246,-4636.11
247,-4636.11
248,-4636.11
249,-4636.11
250,-4636.11
