"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f12', 20, -10, 10, 100, 250, 25000]",3.15,1.0772390625158031e-180
"['f12', 20, -10, 10, 100, 300, 30000]",3.86,1.3263486240488146e-220
"['f12', 20, -10, 10, 200, 150, 30000]",3.98,5.455864938536646e-145
"['f12', 20, -100, 100, 100, 250, 25000]",3.42,4.546451576330421e-31
"['f12', 20, -100, 100, 100, 300, 30000]",4.08,1.619341152173487e-35
"['f12', 20, -100, 100, 200, 150, 30000]",4.05,1.7585007259753602e-37
"['f12', 30, -10, 10, 100, 250, 25000]",4.06,3.7129023071585474e-182
"['f12', 30, -10, 10, 100, 300, 30000]",4.39,5.022313561418911e-215
"['f12', 30, -10, 10, 200, 150, 30000]",4.44,2.353457577291573e-148
"['f12', 30, -100, 100, 100, 250, 25000]",4.14,2.6317752843645765e-34
"['f12', 30, -100, 100, 100, 300, 30000]",5.13,1.5481554007839772e-38
"['f12', 30, -100, 100, 200, 150, 30000]",4.67,6.652148325686765e-39
"['f12', 50, -10, 10, 100, 250, 25000]",4.5,1.0830211825032773e-192
"['f12', 50, -10, 10, 100, 300, 30000]",5.68,3.49676849531302e-209
"['f12', 50, -10, 10, 200, 150, 30000]",5.65,2.984429513474859e-143
"['f12', 50, -100, 100, 100, 250, 25000]",4.93,2.8543926389537506e-46
"['f12', 50, -100, 100, 100, 300, 30000]",6.16,6.067667997874123e-34
"['f12', 50, -100, 100, 200, 150, 30000]",5.93,3.0635596240848222e-43
"['f12', 100, -10, 10, 100, 250, 25000]",6.65,9.421354726735085e-180
"['f12', 100, -10, 10, 100, 300, 30000]",7.99,1.5028159322117625e-196
"['f12', 100, -10, 10, 200, 150, 30000]",8.49,1.4547501334343836e-138
"['f12', 100, -100, 100, 100, 250, 25000]",8.04,3.7743033538181454e-39
"['f12', 100, -100, 100, 100, 300, 30000]",10.18,1.7475608963424523e-44
"['f12', 100, -100, 100, 200, 150, 30000]",9.24,6.050930605094803e-35
