"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f7', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.89,0.19290385780649752
"['f7', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.86,0.05756329949870011
"['f7', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.03,0.0025176389617880828
"['f7', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.85,0.6292962288155287
"['f7', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.69,0.7232928507560384
"['f7', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.91,0.33432551849343084
"['f7', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.91,0.19412004977442704
"['f7', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.11,0.010425970058041393
"['f7', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.81,0.8011685225691886
"['f7', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.98,0.5912526878242578
"['f7', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.66,0.7901641492201258
"['f7', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.63,0.5333304734339109
"['f7', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.53,0.7208722633131727
"['f7', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.31,0.23690758316854943
"['f7', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.45,0.11524482668397934
"['f7', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.55,0.8566750624044077
"['f7', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.67,0.15413396352720293
"['f7', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.57,0.18795211242171983
"['f7', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.69,0.44745734542857685
"['f7', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.79,0.2762885639026937
"['f7', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.57,0.0987372911522865
"['f7', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",6.74,0.2462315040863674
"['f7', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.51,0.802333647331613
"['f7', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.78,0.9300634290863762
"['f7', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",7.24,0.47513571757727846
"['f7', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",6.15,0.6431446978554338
"['f7', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",7.65,0.4812569771454595
"['f7', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.9,0.2638008446991753
"['f7', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",7.1,0.4990653254705257
"['f7', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",7.66,0.81291808269221
"['f7', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",9.45,0.3432587101540453
"['f7', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",10.73,0.15657818876507323
"['f7', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",8.74,0.8046558703991443
"['f7', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",11.04,0.3973765337966784
"['f7', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",11.14,0.045461559432645966
"['f7', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",9.26,0.8325382493853083
"['f7', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",11.06,0.18300168821055537
"['f7', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",9.6,0.03541744015221533
"['f7', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",11.18,0.32587967131143963
"['f7', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",11.74,0.5268292716036257
