"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f3', 20, -10, 10, 100, 250, 25000]",4.18,-2100.0
"['f3', 20, -10, 10, 100, 300, 30000]",4.84,-2100.0
"['f3', 20, -10, 10, 200, 150, 30000]",4.97,-2100.0
"['f3', 20, -100, 100, 100, 250, 25000]",5.01,-21000.0
"['f3', 20, -100, 100, 100, 300, 30000]",5.36,-21000.0
"['f3', 20, -100, 100, 200, 150, 30000]",5.25,-21000.0
"['f3', 30, -10, 10, 100, 250, 25000]",6.4,-4650.0
"['f3', 30, -10, 10, 100, 300, 30000]",7.73,-4650.0
"['f3', 30, -10, 10, 200, 150, 30000]",7.33,-4650.0
"['f3', 30, -100, 100, 100, 250, 25000]",6.53,-46500.0
"['f3', 30, -100, 100, 100, 300, 30000]",8.04,-46500.0
"['f3', 30, -100, 100, 200, 150, 30000]",8.04,-46500.0
"['f3', 50, -10, 10, 100, 250, 25000]",13.19,-12750.0
"['f3', 50, -10, 10, 100, 300, 30000]",15.96,-12750.0
"['f3', 50, -10, 10, 200, 150, 30000]",15.23,-12750.0
"['f3', 50, -100, 100, 100, 250, 25000]",13.66,-127500.0
"['f3', 50, -100, 100, 100, 300, 30000]",16.9,-127500.0
"['f3', 50, -100, 100, 200, 150, 30000]",18.8,-127500.0
"['f3', 100, -10, 10, 100, 250, 25000]",45.86,-50500.0
"['f3', 100, -10, 10, 100, 300, 30000]",52.05,-50500.0
"['f3', 100, -10, 10, 200, 150, 30000]",52.87,-50500.0
"['f3', 100, -100, 100, 100, 250, 25000]",45.03,-505000.0
"['f3', 100, -100, 100, 100, 300, 30000]",53.3,-505000.0
"['f3', 100, -100, 100, 200, 150, 30000]",55.34,-505000.0
