"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f24', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",14.59,5.5649370990229485e-06
"['f24', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",16.97,0.0
"['f24', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",14.69,0.0
"['f24', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",17.87,4.773959005888173e-14
"['f24', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",17.66,0.0
"['f24', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",14.85,0.0
"['f24', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",17.91,0.0
"['f24', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",14.89,0.0
"['f24', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",17.38,0.0
"['f24', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",17.43,1.1883043593014313
"['f24', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",21.01,0.0
"['f24', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",24.96,0.0
"['f24', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",20.86,0.0
"['f24', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",24.16,1.3346035058758865e-05
"['f24', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",24.03,0.0
"['f24', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",20.79,273.05552727269503
"['f24', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",24.72,0.0
"['f24', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",20.45,185.74168339887322
"['f24', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",24.5,0.0
"['f24', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",24.79,50220.123049748254
"['f24', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",32.58,0.0
"['f24', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",39.24,0.0
"['f24', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",32.91,0.0
"['f24', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",38.36,0.0
"['f24', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",38.06,0.0
"['f24', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",33.12,0.0
"['f24', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",38.57,0.0
"['f24', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",33.26,0.0
"['f24', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",38.58,0.0
"['f24', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",38.61,484.824070885406
"['f24', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",61.66,2.027837442408753e-08
"['f24', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",72.58,0.0
"['f24', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",63.35,0.0
"['f24', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",73.41,0.0
"['f24', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",73.72,0.0
"['f24', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",61.46,0.0
"['f24', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",74.49,0.0
"['f24', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",63.58,247061.84257325678
"['f24', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",73.42,0.0
"['f24', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",74.22,0.0
