epoch,gBest_fitness
1,7223520170532.853
2,6807440593883.181
3,6458382353944.569
4,6055495050515.057
5,5685057870799.629
6,5344984860065.877
7,5069404528078.427
8,4779315432965.347
9,4516816963602.289
10,4309299598852.5884
11,3988657825201.777
12,3691519102566.764
13,3419444176258.926
14,3166925068389.5366
15,2929883741787.196
16,2704327364260.9463
17,2491111531014.6445
18,2296237297428.4126
19,2123979610034.7996
20,1966981850068.4941
21,1821410574387.613
22,1687275022498.662
23,1556640830031.0315
24,1425087391505.9287
25,1298045621386.301
26,1183454482344.461
27,1081595358359.4274
28,989266058537.8015
29,906071793099.9529
30,830861304780.1703
31,763585882911.5532
32,703738424884.4712
33,653337672438.6901
34,605172971352.0027
35,563191272720.6901
36,520741224865.6552
37,485111901895.03143
38,442475578295.1369
39,403719715830.72546
40,364408565267.1242
41,328140326966.4952
42,294473139023.35034
43,267505424970.44437
44,244214156463.5181
45,222695129885.06226
46,203679415628.6274
47,185218974368.35577
48,163134003066.0067
49,143221997510.92416
50,126019208183.02197
51,110694442572.4314
52,96865793119.15012
53,84764747062.62096
54,73982922828.45018
55,64722994703.288956
56,56888376103.75837
57,49987306784.88337
58,42902961688.81361
59,37065790537.37747
60,32196862894.63948
61,28029229218.10341
62,24396939711.859753
63,21246444604.116222
64,17700417427.209705
65,14973545237.640884
66,12720054735.375435
67,10803608106.101196
68,8992784738.372976
69,7348618831.816169
70,6024239234.060089
71,4871034421.769
72,3956272552.0861855
73,3247576808.539304
74,2748010092.2235136
75,2298271331.5083213
76,1816332230.036776
77,1430581119.9474907
78,1157359727.5173988
79,875744929.6365088
80,674146886.9873333
81,521056870.135146
82,366378078.8450933
83,281750129.91104174
84,211835258.77570298
85,157019428.91216487
86,104158065.02023986
87,71175520.12096563
88,53021214.17045083
89,33139061.377523754
90,20853008.451358
91,15250217.349678699
92,8962572.6496888
93,6096052.939924616
94,3376798.626850361
95,1658087.4835193136
96,924217.2104306807
97,627790.5497390694
98,437487.4569017465
99,411023.2267659224
100,371856.31925413234
101,301774.89809525415
102,298278.7021193957
103,261299.61828893947
104,249464.8962856722
105,217120.23973616725
106,210627.02456721631
107,144928.85013880875
108,141698.3816628329
109,134002.31640787527
110,133383.02904416245
111,110802.40461715426
112,108525.91725161028
113,95933.39573883038
114,82817.57875731244
115,79934.89302353033
116,74478.29872355054
117,72753.12918419162
118,68097.67545863021
119,63711.68771551687
120,59072.51384961727
121,48006.39344641993
122,48006.39344641993
123,32993.998232815065
124,31318.116314681178
125,31314.864494560465
126,31314.864494560465
127,30468.781710932042
128,28796.6866700476
129,28678.479949888064
130,28231.208831469277
131,27590.70410110784
132,26387.17035553636
133,25492.893537391883
134,23638.765718207498
135,22968.49777624366
136,22012.843997354346
137,21302.60374261047
138,21302.60374261047
139,20261.766748314698
140,20059.309701990693
141,18218.35739608669
142,17604.071950824116
143,17353.35298616607
144,16399.863877918662
145,16295.870941752317
146,15568.902926414436
147,15547.403098371771
148,14996.983208700434
149,14672.054873684447
150,14236.201843648963
