"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f16', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",8.15,0.684
"['f16', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",10.3,0.918
"['f16', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",8.28,1.315
"['f16', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",10.12,1.067
"['f16', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",8.34,0.896
"['f16', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",10.66,1.04
"['f16', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",8.26,1.713
"['f16', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",9.92,1.391
"['f16', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",9.91,0.173
"['f16', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",10.03,0.496
"['f16', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",10.08,0.19
"['f16', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",10.09,0.901
"['f16', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",8.21,20.007
"['f16', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",10.39,19.074
"['f16', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",8.47,20.003
"['f16', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",10.02,19.261
"['f16', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",8.38,20.013
"['f16', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",10.09,19.876
"['f16', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",8.42,19.743
"['f16', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",10.03,20.011
"['f16', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",10.12,19.361
"['f16', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",10.26,20.003
"['f16', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",10.0,18.627
"['f16', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",10.44,18.711
"['f16', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",11.27,1.492
"['f16', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",12.86,2.008
"['f16', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",10.73,0.647
"['f16', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",16.46,0.905
"['f16', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",10.95,0.855
"['f16', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",15.04,1.049
"['f16', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",11.03,1.897
"['f16', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",13.34,0.215
"['f16', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",13.02,0.252
"['f16', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",12.92,0.88
"['f16', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",13.17,0.268
"['f16', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",13.37,0.967
"['f16', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",12.73,20.001
"['f16', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",13.38,19.727
"['f16', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",13.19,19.981
"['f16', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",13.63,17.873
"['f16', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",11.36,19.912
"['f16', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",14.03,20.002
"['f16', 30, -100, 100, 100, 0.5, 0.06, 250, 25000]",10.86,17.463
"['f16', 30, -100, 100, 100, 0.5, 0.06, 300, 30000]",12.85,19.552
"['f16', 30, -100, 100, 200, 0.4, 0.05, 150, 30000]",13.4,16.615
"['f16', 30, -100, 100, 200, 0.4, 0.06, 150, 30000]",13.71,17.717
"['f16', 30, -100, 100, 200, 0.5, 0.05, 150, 30000]",13.23,17.916
"['f16', 30, -100, 100, 200, 0.5, 0.06, 150, 30000]",13.39,19.403
"['f16', 50, -10, 10, 100, 0.4, 0.05, 250, 25000]",16.36,0.747
"['f16', 50, -10, 10, 100, 0.4, 0.05, 300, 30000]",19.54,0.873
"['f16', 50, -10, 10, 100, 0.4, 0.06, 250, 25000]",16.41,0.628
"['f16', 50, -10, 10, 100, 0.4, 0.06, 300, 30000]",26.81,0.548
"['f16', 50, -10, 10, 100, 0.5, 0.05, 250, 25000]",15.52,1.009
"['f16', 50, -10, 10, 100, 0.5, 0.05, 300, 30000]",19.58,0.71
"['f16', 50, -10, 10, 100, 0.5, 0.06, 250, 25000]",16.98,0.747
"['f16', 50, -10, 10, 100, 0.5, 0.06, 300, 30000]",19.54,0.431
"['f16', 50, -10, 10, 200, 0.4, 0.05, 150, 30000]",20.96,0.109
"['f16', 50, -10, 10, 200, 0.4, 0.06, 150, 30000]",20.06,0.494
"['f16', 50, -10, 10, 200, 0.5, 0.05, 150, 30000]",19.24,0.947
"['f16', 50, -10, 10, 200, 0.5, 0.06, 150, 30000]",19.27,0.465
"['f16', 50, -100, 100, 100, 0.4, 0.05, 250, 25000]",16.08,19.342
"['f16', 50, -100, 100, 100, 0.4, 0.05, 300, 30000]",20.84,18.506
"['f16', 50, -100, 100, 100, 0.4, 0.06, 250, 25000]",16.39,16.209
"['f16', 50, -100, 100, 100, 0.4, 0.06, 300, 30000]",18.97,19.037
"['f16', 50, -100, 100, 100, 0.5, 0.05, 250, 25000]",16.59,19.996
"['f16', 50, -100, 100, 100, 0.5, 0.05, 300, 30000]",18.88,19.737
"['f16', 50, -100, 100, 100, 0.5, 0.06, 250, 25000]",15.73,19.95
"['f16', 50, -100, 100, 100, 0.5, 0.06, 300, 30000]",19.06,20.005
"['f16', 50, -100, 100, 200, 0.4, 0.05, 150, 30000]",18.6,16.04
"['f16', 50, -100, 100, 200, 0.4, 0.06, 150, 30000]",18.9,15.801
"['f16', 50, -100, 100, 200, 0.5, 0.05, 150, 30000]",19.4,16.627
"['f16', 50, -100, 100, 200, 0.5, 0.06, 150, 30000]",19.64,15.606
"['f16', 100, -10, 10, 100, 0.4, 0.05, 250, 25000]",30.41,0.554
"['f16', 100, -10, 10, 100, 0.4, 0.05, 300, 30000]",34.69,0.499
"['f16', 100, -10, 10, 100, 0.4, 0.06, 250, 25000]",28.71,1.199
"['f16', 100, -10, 10, 100, 0.4, 0.06, 300, 30000]",45.58,0.817
"['f16', 100, -10, 10, 100, 0.5, 0.05, 250, 25000]",30.23,0.964
"['f16', 100, -10, 10, 100, 0.5, 0.05, 300, 30000]",35.31,0.398
"['f16', 100, -10, 10, 100, 0.5, 0.06, 250, 25000]",28.36,0.402
"['f16', 100, -10, 10, 100, 0.5, 0.06, 300, 30000]",34.74,1.34
"['f16', 100, -10, 10, 200, 0.4, 0.05, 150, 30000]",34.66,1.178
"['f16', 100, -10, 10, 200, 0.4, 0.06, 150, 30000]",34.18,0.831
"['f16', 100, -10, 10, 200, 0.5, 0.05, 150, 30000]",36.2,0.639
"['f16', 100, -10, 10, 200, 0.5, 0.06, 150, 30000]",35.33,0.461
"['f16', 100, -100, 100, 100, 0.4, 0.05, 250, 25000]",29.39,19.98
"['f16', 100, -100, 100, 100, 0.4, 0.05, 300, 30000]",35.26,18.217
"['f16', 100, -100, 100, 100, 0.4, 0.06, 250, 25000]",37.17,19.984
"['f16', 100, -100, 100, 100, 0.4, 0.06, 300, 30000]",34.83,18.516
"['f16', 100, -100, 100, 100, 0.5, 0.05, 250, 25000]",30.77,19.687
"['f16', 100, -100, 100, 100, 0.5, 0.05, 300, 30000]",34.62,19.994
"['f16', 100, -100, 100, 100, 0.5, 0.06, 250, 25000]",28.54,19.904
"['f16', 100, -100, 100, 100, 0.5, 0.06, 300, 30000]",36.46,19.786
"['f16', 100, -100, 100, 200, 0.4, 0.05, 150, 30000]",34.49,19.109
"['f16', 100, -100, 100, 200, 0.4, 0.06, 150, 30000]",34.11,19.892
"['f16', 100, -100, 100, 200, 0.5, 0.05, 150, 30000]",36.32,20.002
"['f16', 100, -100, 100, 200, 0.5, 0.06, 150, 30000]",38.04,20.002
