"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f14', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",10.73,-78.779
"['f14', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",11.69,-78.858
"['f14', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",10.06,-78.849
"['f14', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",13.59,-78.726
"['f14', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",10.16,-78.794
"['f14', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",12.23,-78.866
"['f14', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",11.12,-78.857
"['f14', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",12.08,-78.531
"['f14', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",12.9,-78.892
"['f14', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",12.3,-78.887
"['f14', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",11.91,-78.845
"['f14', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",11.67,-78.897
"['f14', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",10.04,-1271.089
"['f14', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",12.14,-1269.915
"['f14', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",9.85,-1271.814
"['f14', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",13.43,-1268.328
"['f14', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",10.18,-1265.504
"['f14', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",11.96,-1262.018
"['f14', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",11.53,-1271.674
"['f14', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",11.99,-1260.975
"['f14', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",12.73,-1270.51
"['f14', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",12.67,-1271.216
"['f14', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",11.9,-1272.553
"['f14', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",12.03,-1270.3
"['f14', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",14.67,-118.188
"['f14', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",16.96,-117.891
"['f14', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",17.1,-118.306
"['f14', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",17.5,-117.828
