"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f5', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.31,0.04475087489329894
"['f5', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.14,6.567028150431095
"['f5', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.33,0.006923486808579292
"['f5', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.68,6.111362837493431
"['f5', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.91,2.564369354690391
"['f5', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.17,0.018278072787474356
"['f5', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.04,0.05764427496203595
"['f5', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.2,0.0009695666412912095
"['f5', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.38,0.03771194872843776
"['f5', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.33,0.012832787696888398
"['f5', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.33,28.71071710572002
"['f5', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",6.38,28.73985067307728
"['f5', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.98,28.727163621399264
"['f5', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.37,28.705944372822266
"['f5', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.73,0.002645357735846007
"['f5', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.33,0.01444171063925208
"['f5', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",6.83,0.13195140275501907
"['f5', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.38,0.0101724098608635
"['f5', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.81,0.11114933927808521
"['f5', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.68,0.05947109297233944
"['f5', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",7.27,1.2988825381299847
"['f5', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",9.1,48.50435811867798
"['f5', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",7.25,48.50583908822634
"['f5', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",8.96,4.520261099235235
"['f5', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",9.0,48.506937241835736
"['f5', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",7.87,0.11486044846958045
"['f5', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",9.52,0.0064956984425374705
"['f5', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",7.74,0.010458577840143451
"['f5', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",9.67,0.7341620648810355
"['f5', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",10.14,0.002910543744430815
"['f5', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",13.55,0.4247875393834887
"['f5', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",16.97,0.1903652600986859
"['f5', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",12.96,98.00155508770389
"['f5', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",17.25,98.06228248472544
"['f5', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",16.88,98.0047475740193
"['f5', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",13.85,0.5146143875907004
"['f5', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",17.46,0.0001293086329217189
"['f5', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",13.72,0.062027245055688976
"['f5', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",17.54,0.37882774510175987
"['f5', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",18.11,0.09176597220439207
