"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f6', 20, -10, 10, 100, 250, 25000]",3.04,0.00011143267218247107
"['f6', 20, -10, 10, 100, 300, 30000]",4.14,3.2982690081308534e-05
"['f6', 20, -10, 10, 200, 150, 30000]",3.65,8.799911451773793e-07
"['f6', 20, -100, 100, 100, 250, 25000]",3.47,0.000199762314415903
"['f6', 20, -100, 100, 100, 300, 30000]",4.1,0.00020758359960014737
"['f6', 20, -100, 100, 200, 150, 30000]",4.17,4.928260791891679e-05
"['f6', 30, -10, 10, 100, 250, 25000]",3.52,0.00014155313523730027
"['f6', 30, -10, 10, 100, 300, 30000]",4.26,5.309637849609985e-06
"['f6', 30, -10, 10, 200, 150, 30000]",4.09,4.6452093999097834e-05
"['f6', 30, -100, 100, 100, 250, 25000]",3.95,0.00036461580968325067
"['f6', 30, -100, 100, 100, 300, 30000]",4.57,0.00010408421129959394
"['f6', 30, -100, 100, 200, 150, 30000]",4.93,1.550677796527635e-05
"['f6', 50, -10, 10, 100, 250, 25000]",4.26,0.0001252342609267244
"['f6', 50, -10, 10, 100, 300, 30000]",5.78,0.0003028459936186545
"['f6', 50, -10, 10, 200, 150, 30000]",5.02,2.0059552070762575e-05
"['f6', 50, -100, 100, 100, 250, 25000]",5.01,0.0005050899086155266
"['f6', 50, -100, 100, 100, 300, 30000]",5.85,0.000862737069630151
"['f6', 50, -100, 100, 200, 150, 30000]",5.64,5.117526490302585e-06
"['f6', 100, -10, 10, 100, 250, 25000]",6.77,1.1325880494177684e-06
"['f6', 100, -10, 10, 100, 300, 30000]",7.82,0.00016529856713264394
"['f6', 100, -10, 10, 200, 150, 30000]",7.54,4.45673711558157e-05
"['f6', 100, -100, 100, 100, 250, 25000]",8.02,0.0003650580460688366
"['f6', 100, -100, 100, 100, 300, 30000]",9.13,0.0009059160304270402
"['f6', 100, -100, 100, 200, 150, 30000]",9.15,0.0011609794134636415
