"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",2400.2708886484093,4.48
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",9877.858250714966,4.45
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",2716.501431408833,4.5
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",8738.585625255504,4.69
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",15812.224064147582,4.41
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",2158.3683607762814,4.61
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",771.7464010494206,4.6
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",3939.5854189206198,5.14
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",2469.0250821430836,4.57
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",8205.27380713671,4.71
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",2399.009226294367,4.51
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",1135.2902093080136,4.96
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",9639.508858738256,4.76
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",2399.8679893002027,4.8
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",486.22313936857864,4.67
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",1921.7007230759457,4.83
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",441.1431708820929,4.92
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",321.6512839694665,4.58
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",2484.5660628130677,4.42
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",10661.69763430496,4.59
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",1652.7092358001873,4.99
"['f11', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",3511.0114829819036,4.57
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",1454.7038134075465,5.75
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",3166.8878054649604,5.52
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",2068.4155161129097,5.63
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",3456.2804256402915,5.5
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",1094.374553726769,5.66
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",400.9030738985456,5.45
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",1103.990866243047,5.91
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",444.0833612218182,5.68
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",3670.8512536310636,5.41
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",1816.1615310990994,5.32
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",5804.984136671049,5.72
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",8510.882263736145,5.42
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",4485.661776596037,5.47
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",4773.133782532832,5.66
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",6545.537018414499,5.67
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",393.82962023389183,5.61
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",2722.476133951846,5.58
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",4189.941631840636,5.68
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",3629.4082884425848,5.39
"['f11', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",1171.2534687921493,5.39
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",834.608379105535,5.34
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",995.6387245344677,5.46
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",3298.979968334194,5.46
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",613.6224733308201,5.76
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",2413.297491735042,5.5
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",929.420093377152,5.56
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",573.6535170886872,5.49
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",728.4387058810516,5.57
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",222.089958835187,5.98
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",435.7375349384912,5.81
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",796.9287510480078,5.83
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",785.22681655979,5.59
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",659.4903060212819,5.78
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",1419.0961231506508,5.56
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",4854.918926261748,5.75
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",1349.9524862545989,5.85
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",741.3984389787112,6.01
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",4164.022051687301,5.46
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",2635.5308007654858,6.06
"['f11', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",1572.6330345879396,5.47
