"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.5
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.17
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.09
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.46
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.5
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.45
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,7.05
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.52
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.09
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.21
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.66
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.19
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.25
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.08
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.12
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.71
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.71
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.51
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.39
"['f3', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",-2100.0,6.6
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.23
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.0
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.06
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.08
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.87
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.82
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.05
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.23
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.04
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.01
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.39
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.52
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.4
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.04
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,5.92
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.38
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.53
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.17
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,6.03
"['f3', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",-2100.0,5.99
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.16
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.2
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.27
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,5.98
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.22
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.24
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.0
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.0
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.31
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.15
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.03
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.21
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.2
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.14
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.96
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.25
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,5.99
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.23
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.1
"['f3', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",-2100.0,6.12
"['f3', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",-2100.0,6.46
