"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f24', 20, -10, 10, 100, 250, 25000]",7.39,0.0
"['f24', 20, -10, 10, 100, 300, 30000]",9.71,0.0
"['f24', 20, -10, 10, 200, 150, 30000]",8.8,0.0
"['f24', 20, -100, 100, 100, 250, 25000]",7.64,0.0
"['f24', 20, -100, 100, 100, 300, 30000]",9.07,0.0
"['f24', 20, -100, 100, 200, 150, 30000]",9.89,0.0
"['f24', 30, -10, 10, 100, 250, 25000]",10.1,0.0
"['f24', 30, -10, 10, 100, 300, 30000]",12.32,0.0
"['f24', 30, -10, 10, 200, 150, 30000]",12.35,0.0
"['f24', 30, -100, 100, 100, 250, 25000]",10.51,0.0
"['f24', 30, -100, 100, 100, 300, 30000]",12.58,0.0
"['f24', 30, -100, 100, 200, 150, 30000]",13.51,0.0
"['f24', 50, -10, 10, 100, 250, 25000]",15.51,0.0
"['f24', 50, -10, 10, 100, 300, 30000]",19.03,0.0
"['f24', 50, -10, 10, 200, 150, 30000]",18.69,0.0
"['f24', 50, -100, 100, 100, 250, 25000]",15.78,0.0
"['f24', 50, -100, 100, 100, 300, 30000]",19.01,0.0
"['f24', 50, -100, 100, 200, 150, 30000]",18.92,0.0
"['f24', 100, -10, 10, 100, 250, 25000]",29.8,0.0
"['f24', 100, -10, 10, 100, 300, 30000]",34.34,0.0
"['f24', 100, -10, 10, 200, 150, 30000]",34.71,0.0
"['f24', 100, -100, 100, 100, 250, 25000]",30.49,0.0
"['f24', 100, -100, 100, 100, 300, 30000]",37.82,0.0
"['f24', 100, -100, 100, 200, 150, 30000]",36.26,0.0
