"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f17', 20, -10, 10, 100, 250, 25000]",5.79,0.0
"['f17', 20, -10, 10, 100, 300, 30000]",6.96,0.0
"['f17', 20, -10, 10, 200, 150, 30000]",6.84,0.0
"['f17', 20, -100, 100, 100, 250, 25000]",6.07,0.0
"['f17', 20, -100, 100, 100, 300, 30000]",6.99,0.0
"['f17', 20, -100, 100, 200, 150, 30000]",6.94,0.0
"['f17', 30, -10, 10, 100, 250, 25000]",6.94,0.0
"['f17', 30, -10, 10, 100, 300, 30000]",8.61,0.0
"['f17', 30, -10, 10, 200, 150, 30000]",8.53,0.0
"['f17', 30, -100, 100, 100, 250, 25000]",7.44,0.0
"['f17', 30, -100, 100, 100, 300, 30000]",8.87,0.0
"['f17', 30, -100, 100, 200, 150, 30000]",8.68,0.0
"['f17', 50, -10, 10, 100, 250, 25000]",9.55,0.0
"['f17', 50, -10, 10, 100, 300, 30000]",11.9,0.0
"['f17', 50, -10, 10, 200, 150, 30000]",11.86,0.0
"['f17', 50, -100, 100, 100, 250, 25000]",10.62,0.0
"['f17', 50, -100, 100, 100, 300, 30000]",12.75,0.0
"['f17', 50, -100, 100, 200, 150, 30000]",12.07,0.0
"['f17', 100, -10, 10, 100, 250, 25000]",17.0,0.0
"['f17', 100, -10, 10, 100, 300, 30000]",21.4,0.0
"['f17', 100, -10, 10, 200, 150, 30000]",20.21,0.0
"['f17', 100, -100, 100, 100, 250, 25000]",17.98,0.0
"['f17', 100, -100, 100, 100, 300, 30000]",20.66,0.0
"['f17', 100, -100, 100, 200, 150, 30000]",21.62,0.0
