"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f12', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.64,0.0
"['f12', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.42,0.0
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.53,0.0
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.42,0.0
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.42,0.0
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.61,0.0
"['f12', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.48,0.0
"['f12', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.64,0.0
"['f12', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.38,0.0
"['f12', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.32,0.0
"['f12', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.16,0.0
"['f12', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.95,0.0
"['f12', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.23,0.0
"['f12', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.01,0.0
"['f12', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.02,0.0
"['f12', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.14,0.0
"['f12', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.07,0.0
"['f12', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.14,0.0
"['f12', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.08,0.0
"['f12', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.15,0.0
"['f12', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.4,0.0
"['f12', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",6.43,0.0
"['f12', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.27,0.0
"['f12', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.29,0.0
"['f12', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.34,0.0
"['f12', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.29,0.0
"['f12', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",6.41,0.0
"['f12', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.2,0.0
"['f12', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.41,0.0
"['f12', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.29,0.0
"['f12', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",8.2,0.0
"['f12', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",9.88,0.0
"['f12', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",8.0,0.0
"['f12', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",9.92,0.0
"['f12', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",9.99,0.0
"['f12', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",8.15,0.0
"['f12', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",9.9,0.0
"['f12', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",8.05,0.0
"['f12', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",9.84,0.0
"['f12', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",9.92,0.0
