"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f20', 20, -10, 10, 100, 250, 25000]",111.4,759.9996376037598
"['f20', 20, -10, 10, 100, 300, 30000]",126.73,797.9389366358625
"['f20', 20, -10, 10, 200, 150, 30000]",128.92,759.9996376037598
"['f20', 20, -100, 100, 100, 250, 25000]",107.63,759.9996376037598
"['f20', 20, -100, 100, 100, 300, 30000]",128.46,759.9996376037598
"['f20', 20, -100, 100, 200, 150, 30000]",126.14,759.9996376037598
"['f20', 30, -10, 10, 100, 250, 25000]",162.21,1800.3318225833846
"['f20', 30, -10, 10, 100, 300, 30000]",196.55,1797.2079909524261
"['f20', 30, -10, 10, 200, 150, 30000]",193.78,1798.0306433209353
"['f20', 30, -100, 100, 100, 250, 25000]",162.63,1739.9991703033447
"['f20', 30, -100, 100, 100, 300, 30000]",194.93,1739.9991703033447
"['f20', 30, -100, 100, 200, 150, 30000]",192.88,1739.9991703033447
"['f20', 50, -10, 10, 100, 250, 25000]",266.91,5000.2286270455415
"['f20', 50, -10, 10, 100, 300, 30000]",317.6,5000.3811836060695
"['f20', 50, -10, 10, 200, 150, 30000]",323.62,5001.280906101883
"['f20', 50, -100, 100, 100, 250, 25000]",265.91,4899.997663497925
"['f20', 50, -100, 100, 100, 300, 30000]",322.96,4899.997663497925
"['f20', 50, -100, 100, 200, 150, 30000]",333.15,4899.997663497925
"['f20', 100, -10, 10, 100, 250, 25000]",547.64,20005.05120310572
"['f20', 100, -10, 10, 100, 300, 30000]",665.41,19996.893412653426
