"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f10', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",5.0,20.876
"['f10', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",6.04,526.884
"['f10', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",5.23,4.41
"['f10', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",5.91,6.68
"['f10', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",5.8,374.333
"['f10', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",6.09,7.424
"['f10', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",5.02,434.078
"['f10', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",6.06,3.512
"['f10', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",6.34,2.906
"['f10', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",5.99,1.377
"['f10', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",6.0,10.224
"['f10', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",6.06,14.552
"['f10', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",5.07,81772.959
"['f10', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",6.22,23278.911
"['f10', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",5.39,2099072.711
"['f10', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",6.63,3204.509
"['f10', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",5.26,635276.917
"['f10', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",6.87,111377.34
"['f10', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",5.26,7094.207
"['f10', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",6.41,392311.965
"['f10', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",6.01,11945.997
"['f10', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",6.01,122818.941
"['f10', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",6.78,362135.453
"['f10', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",6.18,11750.511
"['f10', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",6.86,204.457
"['f10', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.5,8771.745
"['f10', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",6.64,339.386
"['f10', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",8.1,206.776
"['f10', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",6.98,12.487
"['f10', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",8.56,189.938
"['f10', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",7.06,1156.092
"['f10', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",8.12,287.604
"['f10', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",8.51,7.183
"['f10', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",8.1,6.694
"['f10', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",8.2,70.929
"['f10', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",8.1,67.386
"['f10', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",6.6,8092298.155
