"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f16', 20, -10, 10, 100, 250, 25000]",5.63,4.440892098500626e-16
"['f16', 20, -10, 10, 100, 300, 30000]",6.72,4.440892098500626e-16
"['f16', 20, -10, 10, 200, 150, 30000]",6.51,4.440892098500626e-16
"['f16', 20, -100, 100, 100, 250, 25000]",5.87,4.440892098500626e-16
"['f16', 20, -100, 100, 100, 300, 30000]",6.93,4.440892098500626e-16
"['f16', 20, -100, 100, 200, 150, 30000]",6.95,4.440892098500626e-16
"['f16', 30, -10, 10, 100, 250, 25000]",6.83,4.440892098500626e-16
"['f16', 30, -10, 10, 100, 300, 30000]",8.66,4.440892098500626e-16
"['f16', 30, -10, 10, 200, 150, 30000]",7.98,4.440892098500626e-16
"['f16', 30, -100, 100, 100, 250, 25000]",7.09,4.440892098500626e-16
"['f16', 30, -100, 100, 100, 300, 30000]",8.36,4.440892098500626e-16
"['f16', 30, -100, 100, 200, 150, 30000]",8.65,4.440892098500626e-16
"['f16', 50, -10, 10, 100, 250, 25000]",9.23,4.440892098500626e-16
"['f16', 50, -10, 10, 100, 300, 30000]",10.87,4.440892098500626e-16
"['f16', 50, -10, 10, 200, 150, 30000]",10.79,4.440892098500626e-16
"['f16', 50, -100, 100, 100, 250, 25000]",9.66,3.9968028886505635e-15
"['f16', 50, -100, 100, 100, 300, 30000]",12.33,4.440892098500626e-16
"['f16', 50, -100, 100, 200, 150, 30000]",11.7,4.440892098500626e-16
"['f16', 100, -10, 10, 100, 250, 25000]",15.19,4.440892098500626e-16
"['f16', 100, -10, 10, 100, 300, 30000]",18.22,4.440892098500626e-16
"['f16', 100, -10, 10, 200, 150, 30000]",18.29,4.440892098500626e-16
"['f16', 100, -100, 100, 100, 250, 25000]",16.62,4.440892098500626e-16
"['f16', 100, -100, 100, 100, 300, 30000]",20.0,4.440892098500626e-16
"['f16', 100, -100, 100, 200, 150, 30000]",19.95,4.440892098500626e-16
