"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f5', 20, -10, 10, 100, 250, 25000]",3.47,0.020883340513889074
"['f5', 20, -10, 10, 100, 300, 30000]",4.31,0.0023133411040313916
"['f5', 20, -10, 10, 200, 150, 30000]",4.36,0.002047630460475687
"['f5', 20, -100, 100, 100, 250, 25000]",3.75,0.002239996423711959
"['f5', 20, -100, 100, 100, 300, 30000]",4.62,0.00909614474499536
"['f5', 20, -100, 100, 200, 150, 30000]",4.7,0.0285848874264338
"['f5', 30, -10, 10, 100, 250, 25000]",4.51,0.0014240325248864342
"['f5', 30, -10, 10, 100, 300, 30000]",5.29,0.04711451192866575
"['f5', 30, -10, 10, 200, 150, 30000]",5.39,0.06326377840042594
"['f5', 30, -100, 100, 100, 250, 25000]",5.13,0.006693151532782577
"['f5', 30, -100, 100, 100, 300, 30000]",5.92,0.19688167395716671
"['f5', 30, -100, 100, 200, 150, 30000]",5.78,0.004703996273385146
"['f5', 50, -10, 10, 100, 250, 25000]",6.33,0.0019583967452817745
"['f5', 50, -10, 10, 100, 300, 30000]",7.75,0.015266389567050405
"['f5', 50, -10, 10, 200, 150, 30000]",7.51,0.003595716365512811
"['f5', 50, -100, 100, 100, 250, 25000]",6.99,0.052851939318952226
"['f5', 50, -100, 100, 100, 300, 30000]",8.26,0.0077936483288575465
"['f5', 50, -100, 100, 200, 150, 30000]",8.23,0.024332662896468193
"['f5', 100, -10, 10, 100, 250, 25000]",10.96,0.04625454614341809
"['f5', 100, -10, 10, 100, 300, 30000]",13.08,0.8300750446710341
"['f5', 100, -10, 10, 200, 150, 30000]",13.27,0.2765659201734533
"['f5', 100, -100, 100, 100, 250, 25000]",12.09,0.33344039158820526
"['f5', 100, -100, 100, 100, 300, 30000]",14.73,0.07117052704171911
"['f5', 100, -100, 100, 200, 150, 30000]",14.73,0.0014592965011985708
